,year,age,sex,race,cause,mort
109,2000,25,2,4,n,24.7642072499778
110,2000,25,2,4,o,7.76916305881657
111,2000,25,2,4,t,31.400367362717
112,2000,25,2,4,v,0
113,2000,25,2,5,a,16.2858565111656
114,2000,25,2,5,c,7.09377399374514
115,2000,25,2,5,d,6.97660955841301
116,2000,25,2,5,h,3.95163686438355
117,2000,25,2,5,n,46.7273070729128
118,2000,25,2,5,o,19.3960397036185
119,2000,25,2,5,t,53.7039166313258
120,2000,25,2,5,v,0
121,2000,30,0,1,a,27.6940130964149
122,2000,30,0,1,c,12.8993026779879
123,2000,30,0,1,d,24.4296997656587
124,2000,30,0,1,h,8.49924899482586
125,2000,30,0,1,n,76.1246894483474
126,2000,30,0,1,o,27.0321246791187
127,2000,30,0,1,t,100.554389214006
128,2000,30,0,1,v,0
129,2000,30,0,2,a,60.7515122228423
130,2000,30,0,2,c,15.942150356454
131,2000,30,0,2,d,17.1340868317029
132,2000,30,0,2,h,21.8273367029955
133,2000,30,0,2,n,191.976268544776
134,2000,30,0,2,o,93.4552692624839
135,2000,30,0,2,t,209.110355376479
136,2000,30,0,2,v,0
137,2000,30,0,3,a,34.455768268883
138,2000,30,0,3,c,9.64761511528725
139,2000,30,0,3,d,16.9177822200216
140,2000,30,0,3,h,5.78856906917235
141,2000,30,0,3,n,83.382959210697
142,2000,30,0,3,o,33.4910067573543
143,2000,30,0,3,t,100.300741430719
144,2000,30,0,3,v,0
145,2000,30,0,4,a,21.2692645123367
146,2000,30,0,4,c,11.2910910374133
147,2000,30,0,4,d,13.9169261623931
148,2000,30,0,4,h,4.63897538746438
149,2000,30,0,4,n,52.4291746620974
150,2000,30,0,4,o,15.229843724883
151,2000,30,0,4,t,66.3461008244905
152,2000,30,0,4,v,0
153,2000,30,0,5,a,32.7394611806801
154,2000,30,0,5,c,12.7442197884527
155,2000,30,0,5,d,21.7630524443874
156,2000,30,0,5,h,9.67302262156459
157,2000,30,0,5,n,91.3568796277246
158,2000,30,0,5,o,36.2001760370272
159,2000,30,0,5,t,113.119932072112
160,2000,30,0,5,v,0
161,2000,30,1,1,a,41.1197910123587
162,2000,30,1,1,c,12.0931746891303
163,2000,30,1,1,d,37.0737474360697
164,2000,30,1,1,h,11.6735849849225
165,2000,30,1,1,n,98.0041666256653
166,2000,30,1,1,o,33.1176159392539
167,2000,30,1,1,t,135.077914061735
168,2000,30,1,1,v,0
169,2000,30,1,2,a,100.93043048582
170,2000,30,1,2,c,12.9378003557113
171,2000,30,1,2,d,26.2652934932211
172,2000,30,1,2,h,26.7329248313793
173,2000,30,1,2,n,248.234302005665
174,2000,30,1,2,o,107.633146332755
175,2000,30,1,2,t,274.499595498886
176,2000,30,1,2,v,0
177,2000,30,1,3,a,55.2033600888641
178,2000,30,1,3,c,9.04536984588617
179,2000,30,1,3,d,28.5328210579792
180,2000,30,1,3,h,7.98120868754662
181,2000,30,1,3,n,116.858197200162
182,2000,30,1,3,o,44.6282585778648
183,2000,30,1,3,t,145.391018258141
184,2000,30,1,3,v,0
185,2000,30,1,4,a,28.9631202934954
186,2000,30,1,4,c,8.88439272806607
187,2000,30,1,4,d,20.434103274552
188,2000,30,1,4,h,6.57445061876889
189,2000,30,1,4,n,63.0791883692691
190,2000,30,1,4,o,18.6572247289387
191,2000,30,1,4,t,83.513291643821
192,2000,30,1,4,v,0
193,2000,30,1,5,a,50.2067135714982
194,2000,30,1,5,c,11.5639071997946
195,2000,30,1,5,d,33.4744682099317
196,2000,30,1,5,h,12.7612056156491
197,2000,30,1,5,n,118.103511237246
198,2000,30,1,5,o,43.5716848503045
199,2000,30,1,5,t,151.577979447178
