"year","race","sex","age","edclass","non_inst","inst","inst_rate","tpop"
2002,1,1,"30-34",1,407.333333333333,31.3066666666667,0.0713721198857073,438.64
2002,1,1,"30-34",2,2022.66666666667,51.0183333333333,0.0246027402104627,2073.685
2002,1,1,"30-34",3,1837,25.1146666666667,0.0134871751542691,1862.11466666667
2002,1,1,"30-34",4,2282,6.19033333333333,0.00270534021718182,2288.19033333333
2002,1,1,"35-39",1,447,31.976,0.0667590860502405,478.976
2002,1,1,"35-39",2,2519,55.8933333333333,0.0217070480589487,2574.89333333333
2002,1,1,"35-39",3,1970,28.8443333333333,0.0144305050935265,1998.84433333333
2002,1,1,"35-39",4,2403,7.40933333333333,0.00307389007786783,2410.40933333333
2002,1,1,"40-44",1,541.666666666667,28.5203333333333,0.0500192626863351,570.187
2002,1,1,"40-44",2,2906.33333333333,46.862,0.0158682358295297,2953.19533333333
2002,1,1,"40-44",3,2078,25.0333333333333,0.0119034410613241,2103.03333333333
2002,1,1,"40-44",4,2556,6.51933333333333,0.00254411088670811,2562.51933333333
2002,1,1,"45-49",1,485,17.754,0.0353134932790192,502.754
2002,1,1,"45-49",2,2629,31.7943333333333,0.0119491886069611,2660.79433333333
2002,1,1,"45-49",3,2121,18.5586666666667,0.00867406299990839,2139.55866666667
2002,1,1,"45-49",4,2509,6.34566666666667,0.00252278116314564,2515.34566666667
2002,1,1,"50-54",1,446,12.816,0.0279327660761612,458.816
2002,1,1,"50-54",2,1994,19.8996666666667,0.00988116091185608,2013.89966666667
2002,1,1,"50-54",3,2016,13.188,0.00649915138469181,2029.188
2002,1,1,"50-54",4,2569,5.75466666666667,0.00223503494960814,2574.75466666667
2002,1,1,"55-59",1,524.333333333333,11.6466666666667,0.0217296665298456,535.98
2002,1,1,"55-59",2,1719.66666666667,14.991,0.00864205098681334,1734.65766666667
2002,1,1,"55-59",3,1363,8.457,0.00616643467494788,1371.457
2002,1,1,"55-59",4,2024,5.35733333333333,0.00263991621649678,2029.35733333333
2002,1,1,"60-64",1,529.333333333333,10.7733333333333,0.0199466771995655,540.106666666667
2002,1,1,"60-64",2,1446.66666666667,13.916,0.00952770446862759,1460.58266666667
2002,1,1,"60-64",3,943,6.62866666666667,0.00698027228888766,949.628666666667
2002,1,1,"60-64",4,1342,3.66666666666667,0.00272479564032698,1345.66666666667
2002,1,1,"65-69",1,669,12.974,0.0190241856727676,681.974
2002,1,1,"65-69",2,1247,12.7943333333333,0.0101558905249878,1259.79433333333
2002,1,1,"65-69",3,687,5.49666666666667,0.00793746299621178,692.496666666667
2002,1,1,"65-69",4,913,5.104,0.00555928304418672,918.104
2002,1,2,"25-29",1,296.666666666667,4.94366666666667,0.0163909061471148,301.610333333333
2002,1,2,"25-29",2,1427.33333333333,6.41033333333333,0.00447104561461591,1433.74366666667
2002,1,2,"25-29",3,1718,6.73833333333333,0.00390687282998484,1724.73833333333
2002,1,2,"25-29",4,2219,1.99266666666667,0.00089719641877851,2220.99266666667
2002,1,2,"30-34",1,273,5.87666666666667,0.0210726366494149,278.876666666667
2002,1,2,"30-34",2,1704,7.36833333333333,0.00430552160503145,1711.36833333333
2002,1,2,"30-34",3,2012,4.63233333333333,0.00229706390042673,2016.63233333333
2002,1,2,"30-34",4,2527,1.99833333333333,0.000790167912328926,2528.99833333333
2002,1,2,"35-39",1,357,5.957,0.0164124124896338,362.957
2002,1,2,"35-39",2,2410,8.85733333333333,0.00366178410411969,2418.85733333333
2002,1,2,"35-39",3,2263,6.00533333333333,0.0026466810126493,2269.00533333333
2002,1,2,"35-39",4,2393,2.18733333333333,0.000913220148959817,2395.18733333333
2002,1,2,"40-44",1,419,5.96933333333333,0.0140465037477214,424.969333333333
2002,1,2,"40-44",2,2739,8.16733333333333,0.00297300176594024,2747.16733333333
2002,1,2,"40-44",3,2557,5.27266666666667,0.00205780857566811,2562.27266666667
2002,1,2,"40-44",4,2474,1.286,0.000519535924333592,2475.286
2002,1,2,"45-49",1,362.666666666667,5.40466666666667,0.0146837478966939,368.071333333333
2002,1,2,"45-49",2,2595.33333333333,6.89533333333333,0.00264977994503686,2602.22866666667
2002,1,2,"45-49",3,2400,4.02866666666667,0.00167579809780416,2404.02866666667
2002,1,2,"45-49",4,2445,2.112,0.000863058168159038,2447.112
2002,1,2,"50-54",1,392,5.40966666666667,0.0136123177678114,397.409666666667
2002,1,2,"50-54",2,2455,6.295,0.00255759671229983,2461.295
2002,1,2,"50-54",3,2069,3.41133333333333,0.00164606961874042,2072.41133333333
2002,1,2,"50-54",4,2249,2.282,0.00101364467001468,2251.282
2002,1,2,"55-59",1,487,6.396,0.012963218185798,493.396
2002,1,2,"55-59",2,2216,8.12333333333333,0.00365237539285141,2224.12333333333
2002,1,2,"55-59",3,1657,4.12733333333333,0.00248465800935991,1661.12733333333
2002,1,2,"55-59",4,1495,2.45,0.00163611472837156,1497.45
2002,1,2,"60-64",1,554,8.10133333333333,0.0144125851566503,562.101333333333
2002,1,2,"60-64",2,2030,10.2993333333333,0.00504795211421592,2040.29933333333
2002,1,2,"60-64",3,1122,4.16333333333333,0.00369691785383411,1126.16333333333
2002,1,2,"60-64",4,909,3.01866666666667,0.00330987377451339,912.018666666667
2002,1,2,"65-69",1,704.666666666667,13.9143333333333,0.0193636254414371,718.581
2002,1,2,"65-69",2,1799.33333333333,13.9143333333333,0.00767370811451938,1813.24766666667
2002,1,2,"65-69",3,836,5.32266666666667,0.00632654613687654,841.322666666667
2002,1,2,"65-69",4,640,4.15833333333333,0.0064554522050738,644.158333333333
2003,1,1,"25-29",1,335.333333333333,33.6235,0.0911312569988992,368.956833333333
2003,1,1,"25-29",2,1786.66666666667,54.7765,0.0297465058881806,1841.44316666667
2003,1,1,"25-29",3,1696,27.3515,0.01587110928908,1723.3515
2003,1,1,"25-29",4,1747,8.3175,0.00473845899673421,1755.3175
2003,1,1,"30-34",1,398,29.676,0.0693889767019894,427.676
2003,1,1,"30-34",2,1967,50.0375,0.0248074217757479,2017.0375
2003,1,1,"30-34",3,1786,23.457,0.01296355757556,1809.457
2003,1,1,"30-34",4,2274,5.265,0.00230995518292081,2279.265
2003,1,1,"35-39",1,483.333333333333,30.98,0.0602356540111735,514.313333333333
2003,1,1,"35-39",2,2365.66666666667,54.336,0.0224528678205313,2420.00266666667
2003,1,1,"35-39",3,1874,26.6105,0.0140010275645641,1900.6105
2003,1,1,"35-39",4,2299,6.51,0.00282367025083387,2305.51
2003,1,1,"40-44",1,523.333333333333,28.369,0.051420844694633,551.702333333333
2003,1,1,"40-44",2,2741.66666666667,47.5525,0.0170486781993646,2789.21916666667
2003,1,1,"40-44",3,2093,23.984,0.0113293251153528,2116.984
2003,1,1,"40-44",4,2607,6.0095,0.00229983855780088,2613.0095
2003,1,1,"45-49",1,491.333333333333,18.407,0.036110542557289,509.740333333333
2003,1,1,"45-49",2,2617.66666666667,34.152,0.0128787086497619,2651.81866666667
2003,1,1,"45-49",3,2070,18.1765,0.00870448451076813,2088.1765
2003,1,1,"45-49",4,2628,5.7115,0.00216861262139,2633.7115
2003,1,1,"50-54",1,408,13.1625,0.0312527824770724,421.1625
2003,1,1,"50-54",2,1978,20.721,0.010367129779494,1998.721
2003,1,1,"50-54",3,1989,13.2185,0.00660192681268303,2002.2185
2003,1,1,"50-54",4,2609,5.392,0.00206242981159673,2614.392
2003,1,1,"55-59",1,443.666666666667,11.458,0.0251755196744628,455.124666666667
2003,1,1,"55-59",2,1702.33333333333,16.0725,0.00935314562382674,1718.40583333333
2003,1,1,"55-59",3,1575,9.19,0.00580107184113017,1584.19
2003,1,1,"55-59",4,2186,5.7105,0.00260549922081406,2191.7105
2003,1,1,"60-64",1,542.333333333333,10.521,0.0190303292669618,552.854333333333
2003,1,1,"60-64",2,1542.66666666667,14.561,0.0093505916390303,1557.22766666667
2003,1,1,"60-64",3,988,7.215,0.00724968976552805,995.215
2003,1,1,"60-64",4,1421,3.768,0.00264464109244452,1424.768
2003,1,1,"65-69",1,557,12.885,0.0226098247892119,569.885
2003,1,1,"65-69",2,1207,13.161,0.0107862814825257,1220.161
