year,race,sex,age,edclass,non_inst,inst,inst_rate
2000,2,1,45-49,4,195000,3049,0.015395179980711843
2000,2,1,50-54,1,146666.666666667,9164,0.058807423442540065
2000,2,1,50-54,2,257333.33333333296,11233,0.04182579350352929
2000,2,1,50-54,3,220000,7697,0.03380369526168549
2000,2,1,50-54,4,163000,1787,0.01084430203838895
2000,2,1,55-59,1,147333.333333333,7390,0.04776267315854116
2000,2,1,55-59,2,195666.666666667,5919,0.02936220663836875
2000,2,1,55-59,3,113000,2262,0.01962485467890545
2000,2,1,55-59,4,85000,695,0.008110158118910088
2000,2,1,60-64,1,171333.333333333,5662,0.03198954398044399
2000,2,1,60-64,2,124666.66666666699,4163,0.03231398565030303
2000,2,1,60-64,3,71000,1438,0.01985145917888401
2000,2,1,60-64,4,48000,429,0.008858328687356748
2000,2,1,65-69,1,159000,6323,0.0382463420092788
2000,2,1,65-69,2,118000,2059,0.017149901298528225
2000,2,1,65-69,3,55000,550,0.009900990099009901
2000,2,1,65-69,4,38000,536,0.013909072036537264
2000,2,2,25-29,1,157666.666666667,5338,0.03274752870060973
2000,2,2,25-29,2,457333.33333333296,5246,0.011340757405216267
2000,2,2,25-29,3,503000,4149,0.008181027666425448
2000,2,2,25-29,4,236000,1544,0.0064998484491294245
2000,2,2,30-34,1,126000,7014,0.052731291443006
2000,2,2,30-34,2,526000,5132,0.009662381479556871
2000,2,2,30-34,3,490000,3271,0.006631243271953956
2000,2,2,30-34,4,246000,642,0.0026029629990026028
2000,2,2,35-39,1,156666.666666667,6487,0.03976006259947158
2000,2,2,35-39,2,560333.333333333,6734,0.011875132994200578
2000,2,2,35-39,3,505000,3797,0.007462701234480549
2000,2,2,35-39,4,306000,749,0.0024417357513797926
2000,2,2,40-44,1,166333.333333333,4583,0.026814289252636334
2000,2,2,40-44,2,535666.666666667,5807,0.010724436583865876
2000,2,2,40-44,3,492000,2897,0.00585374330416228
2000,2,2,40-44,4,275000,680,0.0024666279744631455
2000,2,2,45-49,1,172666.666666667,2397,0.013692161518380905
2000,2,2,45-49,2,460333.33333333296,3102,0.006693490497775316
2000,2,2,45-49,3,354000,1986,0.005578871079199744
2000,2,2,45-49,4,250000,472,0.0018844421731770418
2000,2,2,50-54,1,125666.66666666699,1816,0.014245073840103716
2000,2,2,50-54,2,370333.33333333296,1894,0.005088288339921308
2000,2,2,50-54,3,233000,832,0.0035581100961373977
2000,2,2,50-54,4,195000,542,0.0027717830440519174
2000,2,2,55-59,1,172333.333333333,2145,0.012293790059892847
2000,2,2,55-59,2,323666.66666666704,1772,0.00544495839461813
2000,2,2,55-59,3,123000,618,0.004999271950686793
2000,2,2,55-59,4,99000,264,0.0026595744680851063
2000,2,2,60-64,1,155333.333333333,2653,0.016792591764266566
2000,2,2,60-64,2,231666.666666667,1895,0.008113488942962946
2000,2,2,60-64,3,131000,540,0.00410521514368253
2000,2,2,60-64,4,76000,263,0.003448592371136724
2000,2,2,65-69,1,196000,3897,0.01949503994557197
2000,2,2,65-69,2,183000,2230,0.012039086541057065
2000,2,2,65-69,3,49000,718,0.014441449776740818
2000,2,2,65-69,4,57000,433,0.007539219612417948
2000,3,1,25-29,1,535333.333333333,28433,0.05043401551115447
2000,3,1,25-29,2,470666.66666666704,27835,0.05583732585313987
2000,3,1,25-29,3,294000,10108,0.0332381916950557
2000,3,1,25-29,4,118000,2469,0.020494899102673717
2000,3,1,30-34,1,549000,24850,0.043303999302953734
2000,3,1,30-34,2,488000,22810,0.044654568234764394
2000,3,1,30-34,3,273000,7403,0.026401286719471617
2000,3,1,30-34,4,128000,1703,0.01312999699313046
2000,3,1,35-39,1,539666.666666667,24699,0.043764178898196594
2000,3,1,35-39,2,507333.33333333296,15304,0.029282255636795963
2000,3,1,35-39,3,230000,8346,0.03501632081092194
2000,3,1,35-39,4,146000,1508,0.010223174336307183
2000,3,1,40-44,1,401666.66666666704,16585,0.03965315938171193
2000,3,1,40-44,2,312333.33333333296,10904,0.033733727127229565
2000,3,1,40-44,3,211000,5934,0.027353941751869233
2000,3,1,40-44,4,133000,777,0.005808173303333159
2000,3,1,45-49,1,314666.66666666704,8916,0.02755400989752229
2000,3,1,45-49,2,246333.333333333,5670,0.02249970238488912
2000,3,1,45-49,3,151000,3894,0.025139773006055754
2000,3,1,45-49,4,97000,810,0.008281361823944382
2000,3,1,50-54,1,281333.33333333296,4791,0.01674446889638889
2000,3,1,50-54,2,163666.666666667,3501,0.02094304520611039
2000,3,1,50-54,3,120000,2098,0.01718291863912595
2000,3,1,50-54,4,114000,535,0.0046710612476535554
2000,3,1,55-59,1,205333.333333333,2793,0.01341973384755095
2000,3,1,55-59,2,131666.666666667,1519,0.011405131182784906
2000,3,1,55-59,3,66000,747,0.011191514225358443
2000,3,1,55-59,4,57000,686,0.011891966855042818
2000,3,1,60-64,1,200333.333333333,1826,0.009032479331484421
2000,3,1,60-64,2,82666.6666666667,1166,0.013908659313394137
2000,3,1,60-64,3,42000,441,0.010390895596239486
2000,3,1,60-64,4,34000,254,0.007415192386290652
2000,3,1,65-69,1,134000,1817,0.013378295795077199
2000,3,1,65-69,2,62000,768,0.012235534030079022
2000,3,1,65-69,3,46000,278,0.0060071740351787025
2000,3,1,65-69,4,29000,154,0.005282294024833642
2000,3,2,25-29,1,441666.66666666704,1901,0.004285704623796591
2000,3,2,25-29,2,455333.33333333296,1722,0.0037675963377154947
2000,3,2,25-29,3,362000,1454,0.004000506253886324
2000,3,2,25-29,4,156000,1184,0.00753257328990228
2000,3,2,30-34,1,491333.33333333296,2076,0.00420745993184834
2000,3,2,30-34,2,444666.66666666704,1703,0.0038152234060110086
2000,3,2,30-34,3,309000,739,0.002385879724542276
2000,3,2,30-34,4,145000,451,0.003100700579576627
2000,3,2,35-39,1,435333.33333333296,2468,0.005637260127120069
2000,3,2,35-39,2,429666.66666666704,1525,0.003536710279651351
2000,3,2,35-39,3,318000,625,0.001961553550411926
2000,3,2,35-39,4,204000,245,0.0011995397684153835
2000,3,2,40-44,1,409666.66666666704,1417,0.003446986866420539
2000,3,2,40-44,2,322333.33333333296,779,0.002410926231021825
2000,3,2,40-44,3,239000,580,0.0024209032473495283
2000,3,2,40-44,4,133000,213,0.0015989430460991044
2000,3,2,45-49,1,312333.33333333296,978,0.003121495764596241
2000,3,2,45-49,2,217666.666666667,519,0.0023787080422331404
2000,3,2,45-49,3,138000,382,0.00276047462820309
2000,3,2,45-49,4,104000,141,0.001353933609241317
2000,3,2,50-54,1,328666.66666666704,570,0.001731277399236616
2000,3,2,50-54,2,227333.333333333,599,0.0026279729217881954
2000,3,2,50-54,3,127000,297,0.002333126468023598
2000,3,2,50-54,4,76000,107,0.0014059153560119306
2000,3,2,55-59,1,285333.33333333296,779,0.0027227068156213735
2000,3,2,55-59,2,135666.666666667,476,0.0034963322788839073
2000,3,2,55-59,3,73000,286,0.003902518898561799
2000,3,2,55-59,4,35000,89,0.0025364074211291286
2000,3,2,60-64,1,204666.666666667,870,0.004232821394398397
2000,3,2,60-64,2,131333.333333333,485,0.0036793061157401065
2000,3,2,60-64,3,41000,146,0.0035483400573567297
2000,3,2,60-64,4,17000,173,0.010073953298782974
2000,3,2,65-69,1,217666.666666667,1166,0.005328272134873213
2000,3,2,65-69,2,85333.3333333333,640,0.007444168734491318
2000,3,2,65-69,3,44000,175,0.003961516694963215
2000,3,2,65-69,4,23000,129,0.005577413636560163
2001,1,1,25-29,1,339333.33333333296,33027.833333333336,0.08869838288722384
2001,1,1,25-29,2,1876666.66666667,54785.5,0.028364927149373657
2001,1,1,25-29,3,1752000,34751.833333333336,0.01944972585728423
2001,1,1,25-29,4,1734000,12989.833333333334,0.007435551761940229
2001,1,1,30-34,1,394000,32937.333333333336,0.07714793427919164
2001,1,1,30-34,2,2136000,51999.166666666664,0.023765624529869186
2001,1,1,30-34,3,1791000,26772.333333333332,0.014728100346999817
2001,1,1,30-34,4,2316000,7115.666666666667,0.003062984236543252
2001,1,1,35-39,1,464666.66666666704,32972,0.06625690929697313
2001,1,1,35-39,2,2618333.3333333298,57450.666666666664,0.021470592045795454
2001,1,1,35-39,3,2026000,31078.166666666668,0.015107917224665502
2001,1,1,35-39,4,2433000,8308.666666666666,0.003403365899655458
2001,1,1,40-44,1,507000,28671.666666666668,0.05352470263189828
2001,1,1,40-44,2,2854000,46171.5,0.015920265404994152
2001,1,1,40-44,3,2211000,26082.666666666668,0.011659232381220306
2001,1,1,40-44,4,2544000,7029.166666666667,0.002755423873044703
2001,1,1,45-49,1,473666.66666666704,17101,0.034845408859453496
2001,1,1,45-49,2,2337333.3333333298,29436.666666666668,0.012437485123888977
2001,1,1,45-49,3,2153000,18940.833333333332,0.008720694893085254
2001,1,1,45-49,4,2549000,6979.833333333333,0.0027307857606336094
2001,1,1,50-54,1,410666.66666666704,12469.5,0.029469237050169402
2001,1,1,50-54,2,1889333.33333333,19078.333333333332,0.00999696955670817
2001,1,1,50-54,3,1998000,13157.5,0.00654225240937122
2001,1,1,50-54,4,2633000,6117.333333333333,0.0023179467074345055
2001,1,1,55-59,1,537000,11835.333333333334,0.021564452240076866
2001,1,1,55-59,2,1769000,13909.5,0.007801573775898328
2001,1,1,55-59,3,1263000,7724,0.006078424583151023
2001,1,1,55-59,4,1687000,5004.166666666667,0.0029575380281273932
2001,1,1,60-64,1,550666.666666667,11025.666666666666,0.01962937005252578
2001,1,1,60-64,2,1403333.33333333,13271,0.009368176905666225
2001,1,1,60-64,3,896000,6042.333333333333,0.006698503063603444
2001,1,1,60-64,4,1219000,3565.3333333333335,0.0029162722319407064
2001,1,1,65-69,1,710000,13063,0.018066198934256074
2001,1,1,65-69,2,1280000,12427.666666666666,0.009615754124731157
2001,1,1,65-69,3,744000,5326.833333333333,0.007108825009825485
2001,1,1,65-69,4,924000,5247,0.005646507333357008
2001,1,2,25-29,1,304000,4825.833333333333,0.01562639135866764
2001,1,2,25-29,2,1448000,6432.666666666667,0.004422801284716286
2001,1,2,25-29,3,1891000,7310.166666666667,0.0038508810599181147
2001,1,2,25-29,4,2133000,4626.166666666667,0.002164160758698298
2001,1,2,30-34,1,342333.33333333296,5850.833333333333,0.016803846623314786
2001,1,2,30-34,2,1821666.66666667,7377.166666666667,0.004033346020593813
2001,1,2,30-34,3,2089000,4740.666666666667,0.0022642090981659303
2001,1,2,30-34,4,2370000,2189.1666666666665,9.228465829910276e-4
2001,1,2,35-39,1,422333.33333333296,6186,0.01443575474618805
2001,1,2,35-39,2,2425666.6666666702,8788.166666666666,0.0036099115688392604
2001,1,2,35-39,3,2326000,6091.666666666667,0.0026121042983587696
2001,1,2,35-39,4,2495000,2592.6666666666665,0.001038066255266071
2001,1,2,40-44,1,416666.66666666704,6033.666666666667,0.01427409961824806
2001,1,2,40-44,2,2716333.3333333298,8162.666666666667,0.0029960281338884984
2001,1,2,40-44,3,2543000,5125.833333333333,0.0020116091859670717
2001,1,2,40-44,4,2473000,1697.8333333333333,6.860770274512302e-4
2001,1,2,45-49,1,351333.33333333296,5371.333333333333,0.015058208751590968
2001,1,2,45-49,2,2483666.6666666702,6156.166666666667,0.002472532014828093
2001,1,2,45-49,3,2416000,4195.833333333333,0.0017336751330384763
2001,1,2,45-49,4,2429000,2224,9.147655666446201e-4
2001,1,2,50-54,1,428000,5321.833333333333,0.012281479777732562
2001,1,2,50-54,2,2521000,5988.5,0.0023698168788658914
2001,1,2,50-54,3,2055000,3393.6666666666665,0.0016486966131033242
2001,1,2,50-54,4,2108000,2282,0.0010813720630702436
2001,1,2,55-59,1,453000,6475.5,0.014093243274124518
2001,1,2,55-59,2,2269000,7134.666666666667,0.0031345538430356495
2001,1,2,55-59,3,1474000,3832.6666666666665,0.002593437506907638
2001,1,2,55-59,4,1322000,2476.5,0.0018697953493323589
2001,1,2,60-64,1,623000,8086.666666666667,0.012813876593811734
2001,1,2,60-64,2,1966000,9300.666666666666,0.004708481510494098
2001,1,2,60-64,3,1039000,3776.1666666666665,0.003621262920438183
2001,1,2,60-64,4,859000,3026.3333333333335,0.003510720283487086
2001,1,2,65-69,1,687333.333333333,14030.166666666666,0.020004130050489757
2001,1,2,65-69,2,1753666.66666667,13657.666666666666,0.00772787790507419
2001,1,2,65-69,3,881000,5212.333333333333,0.005881585188199818
2001,1,2,65-69,4,672000,4310.166666666667,0.006373062063979028
2001,2,1,25-29,1,116666.66666666699,58173.5,0.3327238878175394
2001,2,1,25-29,2,448333.33333333296,62738.166666666664,0.12275810070932679
2001,2,1,25-29,3,317000,27210.166666666668,0.07905102551202971
2001,2,1,25-29,4,168000,3025.1666666666665,0.017688429870457663
2001,2,1,30-34,1,98666.6666666667,51728.333333333336,0.34394982102685145
2001,2,1,30-34,2,507333.33333333296,59215.833333333336,0.10452020198305832
2001,2,1,30-34,3,319000,24253.5,0.07065769176425003
2001,2,1,30-34,4,184000,2032.3333333333333,0.010924624214070313
2001,2,1,35-39,1,128000,44868.333333333336,0.25955206756587385
2001,2,1,35-39,2,506000,56308.833333333336,0.10013862488970325
2001,2,1,35-39,3,348000,26331,0.0703414892167627
2001,2,1,35-39,4,204000,3174,0.015320455269483623
2001,2,1,40-44,1,135666.666666667,34763.333333333336,0.20397426118249876
2001,2,1,40-44,2,521333.333333333,43439.166666666664,0.07691445080393733
2001,2,1,40-44,3,357000,19806.333333333332,0.052563695408516665
2001,2,1,40-44,4,184000,3330,0.017776117012758233
2001,2,1,45-49,1,119000,21827,0.15499158542040944
2001,2,1,45-49,2,432000,22760.333333333332,0.05004907346800256
2001,2,1,45-49,3,327000,15165.666666666666,0.04432258447905839
2001,2,1,45-49,4,166000,2932.6666666666665,0.017359973796265967
2001,2,1,50-54,1,149000,10806.666666666666,0.0676233782487172
2001,2,1,50-54,2,344000,12662.5,0.03550275120036449
2001,2,1,50-54,3,226000,7958.5,0.03401671663991691
2001,2,1,50-54,4,143000,1906.5,0.013156759703670988
2001,2,1,55-59,1,134333.333333333,7855,0.055243632271752385
2001,2,1,55-59,2,247666.666666667,6828.5,0.026831550828404695
2001,2,1,55-59,3,123000,2943.3333333333335,0.023370298811634865
2001,2,1,55-59,4,92000,812,0.008748868680774038
2001,2,1,60-64,1,153333.333333333,5933.333333333333,0.0372540812055254
2001,2,1,60-64,2,153666.666666667,4411.666666666667,0.027908104631669896
2001,2,1,60-64,3,75000,1583,0.020670383766632282
2001,2,1,60-64,4,59000,552.1666666666666,0.009271982827381035
2001,2,1,65-69,1,149000,6664.166666666667,0.04281118005107149
2001,2,1,65-69,2,122000,2400.1666666666665,0.019293918416508016
2001,2,1,65-69,3,78000,700.5,0.008900832904492348
2001,2,1,65-69,4,44000,498.3333333333333,0.011198921307914153
2001,2,2,25-29,1,132000,5251.333333333333,0.038260709064149946
2001,2,2,25-29,2,462000,5037.833333333333,0.010786777802083843
2001,2,2,25-29,3,483000,3897.8333333333335,0.008005443989447478
2001,2,2,25-29,4,239000,1299,0.005405765317375437
2001,2,2,30-34,1,129000,6581.166666666667,0.04854041920768249
2001,2,2,30-34,2,483000,4865.166666666667,0.00997235916617672
2001,2,2,30-34,3,472000,2966.5,0.006245703644362287
2001,2,2,30-34,4,288000,568.6666666666666,0.0019706459236738566
2001,2,2,35-39,1,148333.333333333,5806.666666666667,0.03767138099563176
2001,2,2,35-39,2,521666.666666667,6303.5,0.011939121560214412
2001,2,2,35-39,3,552000,3524.3333333333335,0.0063441565415976375
2001,2,2,35-39,4,250000,700.8333333333334,0.002795496624462756
2001,2,2,40-44,1,143666.666666667,4951,0.03331367064929465
2001,2,2,40-44,2,589333.333333333,5804.833333333333,0.009753757460802523
2001,2,2,40-44,3,479000,2957.1666666666665,0.006135745811436217
2001,2,2,40-44,4,246000,625.8333333333334,0.002537582234896993
2001,2,2,45-49,1,186000,2874.5,0.01521910051383326
2001,2,2,45-49,2,501000,3218.3333333333335,0.006382816967517379
2001,2,2,45-49,3,359000,2017.1666666666667,0.005587453597543607
2001,2,2,45-49,4,211000,436.1666666666667,0.0020628763448700435
2001,2,2,50-54,1,173000,2052.8333333333335,0.011726935772723854
2001,2,2,50-54,2,386000,2029.6666666666667,0.005230699714540727
2001,2,2,50-54,3,300000,955.8333333333334,0.003175992047559581
2001,2,2,50-54,4,186000,623.6666666666666,0.0033418412455726407
2001,2,2,55-59,1,153000,2185,0.0140799690691755
2001,2,2,55-59,2,299000,2050.5,0.006811149624398564
2001,2,2,55-59,3,168000,794.5,0.004706906919360524
2001,2,2,55-59,4,113000,258,0.002277984778117219
2001,2,2,60-64,1,159000,2750.1666666666665,0.01700255847237664
2001,2,2,60-64,2,228000,2067.1666666666665,0.008985057262263266
2001,2,2,60-64,3,143000,693.8333333333334,0.004828553301405882
2001,2,2,60-64,4,70000,378,0.0053709966182613885
2001,2,2,65-69,1,187666.666666667,3837.8333333333335,0.02004043421085837
2001,2,2,65-69,2,183333.333333333,2419,0.013022716628054943
2001,2,2,65-69,3,86000,807.6666666666666,0.009304093724440621
2001,2,2,65-69,4,64000,500,0.007751937984496124
2001,3,1,25-29,1,727333.333333333,30424.333333333332,0.040150479066966456
2001,3,1,25-29,2,641666.666666667,27823,0.041558520445174885
2001,3,1,25-29,3,354000,9849.833333333334,0.027071149773784883
2001,3,1,25-29,4,154000,2139.5,0.013702490401211737
2001,3,1,30-34,1,626000,25442,0.03905489667537555
2001,3,1,30-34,2,542000,22943,0.04061117670278241
2001,3,1,30-34,3,302000,7361.666666666667,0.023796311760237478
2001,3,1,30-34,4,172000,1493.6666666666667,0.008609344049062311
2001,3,1,35-39,1,615666.666666667,24369.666666666668,0.038075442592061165
2001,3,1,35-39,2,503333.33333333296,15706,0.030259749100581993
2001,3,1,35-39,3,233000,7907.833333333333,0.03282513990481837
2001,3,1,35-39,4,167000,1541.6666666666667,0.009147095179233622
2001,3,1,40-44,1,483000,16951.666666666668,0.033906610972394
2001,3,1,40-44,2,366000,11524.666666666666,0.030526923627065425
2001,3,1,40-44,3,184000,5841.333333333333,0.030769554926570256
2001,3,1,40-44,4,163000,812.8333333333334,0.004961963704512365
2001,3,1,45-49,1,370666.66666666704,9542.833333333334,0.025098881888362404
2001,3,1,45-49,2,243333.333333333,6272,0.02512766821221772
2001,3,1,45-49,3,187000,3904.1666666666665,0.020450924329397387
2001,3,1,45-49,4,123000,776.5,0.00627340407912649
2001,3,1,50-54,1,296333.33333333296,5131.666666666667,0.017022429358853175
2001,3,1,50-54,2,159666.666666667,3666.6666666666665,0.022448979591836688
2001,3,1,50-54,3,129000,2197,0.016745809736503123
2001,3,1,50-54,4,102000,527.5,0.0051449611079954155
2001,3,1,55-59,1,188333.333333333,3091,0.01614737241695155
2001,3,1,55-59,2,137666.666666667,1871,0.013408565906935491
2001,3,1,55-59,3,80000,970.1666666666666,0.011981779297313207
2001,3,1,55-59,4,51000,681.3333333333334,0.013183354402621191
2001,3,1,60-64,1,203000,1983.1666666666667,0.009674778172841837
2001,3,1,60-64,2,103000,1290.5,0.012374089682185818
2001,3,1,60-64,3,53000,498,0.009308759205951624
2001,3,1,60-64,4,32000,274.1666666666667,0.008494926282630587
2001,3,1,65-69,1,158333.333333333,2102.3333333333335,0.013103902498820947
2001,3,1,65-69,2,54666.6666666667,859.3333333333334,0.01547623335614546
2001,3,1,65-69,3,41000,243.66666666666666,0.005907977790529455
2001,3,1,65-69,4,24000,165.5,0.006848606484450973
2001,3,2,25-29,1,472333.33333333296,2355.6666666666665,0.004962547408232903
2001,3,2,25-29,2,511666.66666666704,1834.5,0.0035725332659094873
2001,3,2,25-29,3,368000,1441.5,0.003901835608614625
2001,3,2,25-29,4,206000,NA,NA
2001,3,2,30-34,1,521333.333333333,2136.5,0.004081419527836532
2001,3,2,30-34,2,483666.66666666704,1719.6666666666667,0.0035428823363382682
2001,3,2,30-34,3,328000,721,0.0021933493753061107
2001,3,2,30-34,4,206000,429.5,0.0020806134782092676
2001,3,2,35-39,1,487333.33333333296,2492.6666666666665,0.00508888190228095
2001,3,2,35-39,2,399666.66666666704,1567.5,0.0039066962143885185
